generation;i;j;delta;beta;integral;pi;fitness
0;8;9;245;0.07868315015869297;292.33305316957114;0.17607656308817313;6942.287105680773
0;3;10;179;0.004545956406048735;365.00877379937447;0.03627976790486224;3465.2555300734
0;2;4;667;0.0959748883089598;206.0701179576986;0.19760299105251922;8804.77699281071
0;7;10;535;0.16569223965368268;266.5780320234084;0.15667823596074976;6884.811558310083
0;7;8;125;0.030866061519384758;346.7602131299497;0.11558068551206098;5195.450904173403
0;8;11;622;0.03340514619687396;271.90357722053056;0.16970903677067717;7071.955078150264
0;3;10;53;0.022407546101155407;369.4475301514175;0.0018684392403320877;2744.1130945876585
0;2;12;20;0.08769775539285343;420.6352816115374;0.16935241577007468;5764.404765789586
0;2;9;175;0.1739124882472116;261.34019509491685;0.15777948243096265;6982.019791279885
0;1;4;667;0.0959748883089598;205.7107333361515;0.19369379873682585;8735.07103141789
0;8;11;175;0.11263058527535277;270.9085069869202;0.17205455804869316;7132.374285015004
0;7;9;245;0.03340514619687396;307.6938750674245;0.17216589416080724;6693.301327900806
0;2;4;531;0.1739124882472116;196.6570285790875;0.1578361578667539;8241.718121539168
0;2;4;245;0.0959748883089598;250.5501094855531;0.18810775106481092;7753.372594712049
0;2;4;245;0.07868315015869297;262.29126178442215;0.18479581831231628;7508.471894008827
0;8;10;245;0.07868315015869297;292.4458033105118;0.17570066488702973;6933.450296596155
0;8;11;622;0.14961483755066393;270.28917823257194;0.17071173816766627;7113.975931457155
0;8;9;622;0.03340514619687396;270.4572980846264;0.17465200837274575;7190.481527262846
0;2;4;229;0.07868315015869297;268.5763893786661;0.19046979490626678;7532.7313793768135
0;2;8;245;0.1739124882472116;232.38268945373773;0.17627307115836732;7828.707944458158
1;1;4;667;0.08453533344156204;208.92928514277676;0.19100093309500632;8606.327097869867
1;2;4;667;0.1415668989617927;197.47521963893354;0.20943205337339046;9252.567578492402
1;3;4;531;0.0959748883089598;205.88897864997435;0.15883647018590516;8033.715953251043
1;1;4;667;0.09048044884670076;207.22432765655913;0.19240686454357117;8673.825525977383
1;1;4;301;0.0959748883089598;222.3379224846737;0.19553280628004388;8408.314414500885
1;2;4;270;0.0959748883089598;233.6623548601513;0.19000873240951083;8079.854190915477
1;2;12;667;0.0959748883089598;385.5879947179705;0.16935241577007487;5980.490055545474
1;2;9;667;0.1739124882472116;210.4645954348824;0.18066125078104292;8364.617989501823
1;2;6;667;0.0959748883089598;207.35446781992334;0.18882942528997523;8599.248034257065
1;2;4;418;0.0959748883089598;207.89420837816596;0.1975972182820319;8762.083175188276
2;2;4;13;0.1415668989617927;339.2026868057569;0.05270692844055804;4002.228424516361
